All,All Count,Negative,Neg Count,Neutral,Neut Count,Positive,Pos Count,News,News Count
climate,330,MAGA,11,climate,16,climate,182,climate,124
climatechange,153,climate,8,climatechange,11,climatechange,94,environment,44
Trump,70,Trump,7,Trump,6,COP22,47,climatechange,42
environment,68,climatechange,6,ClimateChange,4,ParisAgreement,46,Trump,25
COP22,63,tcot,4,amreading,4,ActOnClimate,38,news,20
ParisAgreement,60,ParisAgreement,4,QandA,3,BeforeTheFlood,37,p2,14
ClimateChange,41,fakenews,3,ParisAccord,3,Trump,32,COP22,13
BeforeTheFlood,41,QandA,3,COP22,3,globalwarming,25,science,13
ActOnClimate,38,ClimateScam,3,Tillerson,2,ClimateChange,23,ClimateChange,12
globalwarming,31,OpChemtrails,3,ICYMI,2,environment,23,GreatBarrierReef,11
science,27,CNN,3,China,2,auspol,19,News,10
p2,26,climatemarch,3,firstdayofspring,2,science,12,ParisAgreement,9
auspol,25,globalwarming,3,GlobalWarming,2,Resist,11,climatemarch,7
news,21,DrainTheSwamp,2,AprilFoolsDay,2,qanda,11,CLIMATEchange,6
MAGA,20,maga,2,SB46,2,resist,10,China,6
climatemarch,18,ClimateChange,2,energy,2,EarthDay,9,Climatechange,5
GlobalWarming,18,LondonAttacks,2,GameOfThrones,2,ExxonKnew,9,GlobalWarming,5
EPA,16,PJNet,2,ClimateCounts,2,NoDAPL,9,CNN,5
EarthDay,14,feedly,2,4corners,2,ClimateAction,9,weather,5
GreatBarrierReef,13,PresidentTrump,2,Brexit,2,GlobalWarming,9,forecast,5
